Wavelength.nm,Absorbtivity.mM,Absorbtivity.M,Nucleotide,Reference
250,11.37,11370,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
250,10.23,10230,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
250,8.41,8410,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
250,12.23,12230,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,14.25,14250,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,9.07,9070,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,6.87,6870,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,13.28,13280,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,13.33,13330,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,11.1,11100,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,9.84,9840,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,12.94,12940,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,11.81,11810,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,9.23,9230,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,8.23,8230,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,10.53,10530,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,9.93,9930,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,7.69,7690,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,6.72,6720,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,9.6,9600,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,12.66,12660,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,10.77,10770,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,9.2,9200,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
255,12.27,12270,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,15.4,15400,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,9.9,9900,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,7.2,7200,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,11.5,11500,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,13.7,13700,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,12,12000,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,10.5,10500,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,12.5,12500,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,12.3,12300,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,9.8,9800,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,8.6,8600,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,10,10000,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,10.5,10500,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,8.1,8100,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,7.1,7100,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,8.9,8900,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,12.6,12600,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,10.6,10600,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,8.7,8700,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,10.8,10800,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
260,8.7,8700,Tp,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,11.4,11400,ApT,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,7.6,7600,CpT,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,10,10000,GpT,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,11.7,11700,TpA,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,8.1,8100,TpC,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,9.5,9500,TpG,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
260,8.4,8400,TpT,"Puglisi,J.D. and Tinoco,I.,Jr (1989) Absorbance melting curves of RNA. Methods Enzymol., 180, 304±325."
265,13.62,13620,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,9.77,9770,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.42,8420,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,9.98,9980,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,11.79,11790,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,11.12,11120,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,9.98,9980,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,10.81,10810,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,11.08,11080,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,9.43,9430,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.72,8720,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.82,8820,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,10.17,10170,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.53,8530,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.05,8050,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.51,8510,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,10.91,10910,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,9.59,9590,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,8.62,8620,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
265,9.22,9220,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,9.95,9950,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.36,8360,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.7,8700,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,9.44,9440,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,9.48,9480,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.9,8900,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.29,8290,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.9,8900,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.65,8650,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,7.92,7920,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,7.72,7720,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,7.88,7880,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.85,8850,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,7.85,7850,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.04,8040,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.04,8040,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.96,8960,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.53,8530,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.19,8190,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
270,8.67,8670,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,5.25,5250,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,6.05,6050,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,8.21,8210,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,8.91,8910,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,5.72,5720,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,5.65,5650,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,6.4,6400,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
275,6.83,6830,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
